"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"MUNICIPIO",120001,4108,NA
2015,"MUNICIPIO",120005,4411,NA
2015,"MUNICIPIO",120010,12950,5800
2015,"MUNICIPIO",120013,3988,NA
2015,"MUNICIPIO",120017,3837,NA
2015,"MUNICIPIO",120020,40157,NA
2015,"MUNICIPIO",120025,10314,NA
2015,"MUNICIPIO",120030,5564,NA
2015,"MUNICIPIO",120032,3086,NA
2015,"MUNICIPIO",120033,10585,NA
2015,"MUNICIPIO",120034,5726,NA
2015,"MUNICIPIO",120035,3041,NA
2015,"MUNICIPIO",120038,7501,11020
2015,"MUNICIPIO",120080,3582,NA
2015,"MUNICIPIO",120039,3939,NA
2015,"MUNICIPIO",120040,202308,83548
2015,"MUNICIPIO",120042,5368,NA
2015,"MUNICIPIO",120043,2495,NA
2015,"MUNICIPIO",120045,7661,NA
2015,"MUNICIPIO",120050,14618,NA
2015,"MUNICIPIO",120060,13329,NA
2015,"MUNICIPIO",120070,8854,NA
2015,"MUNICIPIO",270010,13178,NA
2015,"MUNICIPIO",270020,8347,NA
2015,"MUNICIPIO",270030,221212,70000
2015,"MUNICIPIO",270040,NA,NA
2015,"MUNICIPIO",270050,NA,NA
2015,"MUNICIPIO",270060,7031,NA
2015,"MUNICIPIO",270070,13757,4945
2015,"MUNICIPIO",270080,NA,NA
2015,"MUNICIPIO",270090,1854,NA
2015,"MUNICIPIO",270100,18549,NA
2015,"MUNICIPIO",270110,NA,NA
2015,"MUNICIPIO",270120,1935,NA
2015,"MUNICIPIO",270130,17230,2032
2015,"MUNICIPIO",270135,NA,NA
2015,"MUNICIPIO",270140,5205,NA
2015,"MUNICIPIO",270150,8661,NA
2015,"MUNICIPIO",270160,5634,NA
2015,"MUNICIPIO",270170,10023,587
2015,"MUNICIPIO",270180,5674,NA
2015,"MUNICIPIO",270190,NA,NA
2015,"MUNICIPIO",270200,3417,NA
2015,"MUNICIPIO",270210,12433,NA
2015,"MUNICIPIO",270220,3757,NA
2015,"MUNICIPIO",270230,56631,8231
2015,"MUNICIPIO",270235,15009,NA
2015,"MUNICIPIO",270240,50940,44000
2015,"MUNICIPIO",270250,3829,NA
2015,"MUNICIPIO",270255,6313,NA
2015,"MUNICIPIO",270260,8066,NA
2015,"MUNICIPIO",270270,NA,NA
2015,"MUNICIPIO",270280,6852,NA
2015,"MUNICIPIO",270290,16387,NA
2015,"MUNICIPIO",270300,6244,NA
2015,"MUNICIPIO",270310,13758,NA
2015,"MUNICIPIO",270320,6528,NA
2015,"MUNICIPIO",270330,8346,NA
2015,"MUNICIPIO",270340,3622,NA
2015,"MUNICIPIO",270350,4384,926
2015,"MUNICIPIO",270360,3484,NA
2015,"MUNICIPIO",270370,3356,NA
2015,"MUNICIPIO",270375,NA,NA
2015,"MUNICIPIO",270380,14012,NA
2015,"MUNICIPIO",270390,2801,NA
2015,"MUNICIPIO",270400,7888,NA
2015,"MUNICIPIO",270410,13187,NA
2015,"MUNICIPIO",270420,6495,NA
2015,"MUNICIPIO",270430,979479,354519
2015,"MUNICIPIO",270440,9790,NA
2015,"MUNICIPIO",270450,15792,7564
2015,"MUNICIPIO",270460,5690,NA
2015,"MUNICIPIO",270470,50792,13884
2015,"MUNICIPIO",270480,8610,NA
2015,"MUNICIPIO",270490,1587,NA
2015,"MUNICIPIO",270500,9833,NA
2015,"MUNICIPIO",270510,10556,NA
